region,injury_severity
Île-de-France,Uninjured
Auvergne-Rhône-Alpes,Killed
Île-de-France,Uninjured
Provence-Alpes-Côte d’Azur,Uninjured
Île-de-France,Uninjured
Île-de-France,Uninjured
Bretagne,Killed
Île-de-France,Uninjured
Bourgogne-Franche-Comté,Uninjured
Grand Est,Uninjured
Hauts-de-France,Uninjured
Provence-Alpes-Côte d’Azur,Uninjured
Île-de-France,Uninjured
Île-de-France,Uninjured
Auvergne-Rhône-Alpes,Uninjured
Nouvelle-Aquitaine,Uninjured
Île-de-France,Uninjured
Île-de-France,Uninjured
Île-de-France,Killed
Île-de-France,Uninjured
Auvergne-Rhône-Alpes,Uninjured
Hauts-de-France,Uninjured
Grand Est,Uninjured
Auvergne-Rhône-Alpes,Uninjured
Centre-Val de Loire,Killed
Île-de-France,Uninjured
Auvergne-Rhône-Alpes,Uninjured
Île-de-France,Uninjured
Occitanie,Uninjured
Bourgogne-Franche-Comté,Uninjured
Île-de-France,Killed
Île-de-France,Uninjured
Provence-Alpes-Côte d’Azur,Killed
Bretagne,Uninjured
Centre-Val de Loire,Uninjured
Auvergne-Rhône-Alpes,Hospitalised injured
Grand Est,Uninjured
Île-de-France,Uninjured
Île-de-France,Uninjured
Grand Est,Uninjured
Auvergne-Rhône-Alpes,Killed
Île-de-France,Uninjured
Occitanie,Uninjured
Pays de la Loire,Uninjured
Île-de-France,Uninjured
Auvergne-Rhône-Alpes,Uninjured
Île-de-France,Uninjured
Pays de la Loire,Uninjured
Occitanie,Uninjured
Bretagne,Killed
Occitanie,Killed
Bretagne,Killed
Île-de-France,Uninjured
Centre-Val de Loire,Uninjured
Provence-Alpes-Côte d’Azur,Uninjured
Auvergne-Rhône-Alpes,Killed
Île-de-France,Killed
Auvergne-Rhône-Alpes,Uninjured
Bretagne,Uninjured
Auvergne-Rhône-Alpes,Hospitalised injured
Hauts-de-France,Killed
Bourgogne-Franche-Comté,Uninjured
Nouvelle-Aquitaine,Killed
Provence-Alpes-Côte d’Azur,Uninjured
Bourgogne-Franche-Comté,Hospitalised injured
Île-de-France,Uninjured
Île-de-France,Killed
Nouvelle-Aquitaine,Uninjured
Provence-Alpes-Côte d’Azur,Killed
Île-de-France,Uninjured
Occitanie,Uninjured
Normandie,Uninjured
Bourgogne-Franche-Comté,Uninjured
Bretagne,Killed
Grand Est,Uninjured
Île-de-France,Uninjured
Nouvelle-Aquitaine,Uninjured
Île-de-France,Uninjured
Auvergne-Rhône-Alpes,Killed
Île-de-France,Uninjured
Bretagne,Uninjured
Bretagne,Uninjured
Bretagne,Uninjured
Île-de-France,Uninjured
Île-de-France,Uninjured
Île-de-France,Uninjured
Île-de-France,Uninjured
Île-de-France,Uninjured
Bretagne,Uninjured
Hauts-de-France,Uninjured
Grand Est,Uninjured
Provence-Alpes-Côte d’Azur,Uninjured
Nouvelle-Aquitaine,Killed
Centre-Val de Loire,Uninjured
Nouvelle-Aquitaine,Killed
Île-de-France,Uninjured
Occitanie,Uninjured
Grand Est,Uninjured
Île-de-France,Uninjured
Centre-Val de Loire,Killed
Occitanie,Killed
Centre-Val de Loire,Uninjured
Bretagne,Uninjured
Île-de-France,Uninjured
Nouvelle-Aquitaine,Killed
Centre-Val de Loire,Uninjured
Centre-Val de Loire,Killed
Bourgogne-Franche-Comté,Uninjured
Île-de-France,Uninjured
Île-de-France,Uninjured
Île-de-France,Uninjured
Île-de-France,Uninjured
Grand Est,Killed
Grand Est,Uninjured
Centre-Val de Loire,Killed
Occitanie,Killed
Hauts-de-France,Uninjured
Île-de-France,Killed
Grand Est,Uninjured
Nouvelle-Aquitaine,Uninjured
Occitanie,Killed
Normandie,Uninjured
Normandie,Uninjured
Île-de-France,Uninjured
Centre-Val de Loire,Uninjured
Hauts-de-France,Killed
Normandie,Uninjured
Grand Est,Uninjured
Pays de la Loire,Uninjured
Occitanie,Killed
Pays de la Loire,Killed
Auvergne-Rhône-Alpes,Uninjured
Nouvelle-Aquitaine,Uninjured
Grand Est,Uninjured
Occitanie,Uninjured
Nouvelle-Aquitaine,Uninjured
Pays de la Loire,Uninjured
