iter	Passed	Remaining
0	14	7282
1	26	6623
2	40	6660
3	54	6799
4	69	6851
5	83	6857
6	98	6911
7	114	7033
8	127	6980
9	143	7035
10	158	7049
11	172	7026
12	186	6987
13	202	7014
14	215	6978
15	230	6957
16	244	6938
17	257	6885
18	270	6839
19	283	6792
20	298	6807
21	311	6771
22	325	6758
23	339	6736
24	353	6722
25	367	6696
26	380	6659
27	396	6678
28	409	6654
29	423	6627
30	436	6608
31	451	6604
32	465	6582
33	479	6566
34	493	6557
35	507	6542
36	521	6531
37	535	6507
38	549	6498
39	562	6473
40	575	6439
41	589	6423
42	604	6420
43	618	6406
44	632	6394
45	648	6400
46	662	6382
47	675	6360
48	689	6350
49	704	6339
50	718	6325
51	732	6310
52	746	6299
53	759	6272
54	771	6243
55	788	6247
56	801	6231
57	816	6218
58	829	6202
59	845	6196
60	859	6183
61	875	6182
62	888	6162
63	902	6147
64	916	6132
65	930	6117
66	944	6101
67	958	6086
68	971	6066
69	986	6058
70	1000	6045
71	1014	6029
72	1028	6013
73	1042	6001
74	1056	5985
75	1070	5969
76	1085	5962
77	1101	5959
78	1114	5937
79	1129	5928
80	1142	5911
81	1155	5891
82	1169	5875
83	1183	5862
84	1197	5848
85	1210	5829
86	1224	5810
87	1238	5799
88	1251	5781
89	1265	5763
90	1279	5752
91	1295	5743
92	1309	5729
93	1323	5714
94	1337	5700
95	1351	5686
96	1364	5667
97	1377	5650
98	1391	5634
99	1404	5616
100	1416	5596
101	1431	5586
102	1444	5567
103	1456	5547
104	1471	5535
105	1488	5532
106	1501	5514
107	1515	5502
108	1532	5495
109	1545	5480
110	1558	5462
111	1574	5452
112	1588	5441
113	1603	5430
114	1617	5415
115	1631	5400
116	1645	5385
117	1657	5365
118	1672	5353
119	1688	5346
120	1702	5331
121	1714	5310
122	1729	5299
123	1742	5282
124	1757	5273
125	1775	5268
126	1791	5261
127	1806	5251
128	1822	5241
129	1838	5232
130	1853	5221
131	1871	5217
132	1887	5209
133	1901	5192
134	1915	5178
135	1928	5161
136	1942	5146
137	1954	5128
138	1970	5118
139	1985	5106
140	1999	5089
141	2014	5079
142	2028	5063
143	2041	5046
144	2056	5034
145	2072	5024
146	2086	5010
147	2099	4992
148	2113	4979
149	2128	4965
150	2141	4949
151	2155	4935
152	2170	4922
153	2183	4905
154	2197	4891
155	2212	4877
156	2226	4863
157	2239	4846
158	2252	4831
159	2268	4821
160	2280	4802
161	2295	4789
162	2313	4782
163	2327	4767
164	2340	4752
165	2352	4733
166	2369	4724
167	2383	4710
168	2397	4696
169	2413	4684
170	2425	4667
171	2439	4652
172	2453	4638
173	2467	4623
